0,0,0,0,0,0,0,0,0,0,0,0,0
0.82468,1.1413,1.4081,0.82468,1.1413,1,0.82468,1.1413,0.5,0.17457,0,-0.95997,-2.4583
0.82462,1.1414,1.4081,0.82462,1.1414,1,0.82462,1.1414,0.99987,-1.7454,-1.92,-0.95997,-2.4583
0.82451,1.1415,1.4081,0.82451,1.1415,1,0.82451,1.1415,0.9996,-1.7468,-1.9213,-0.95997,-2.4581
0.8244,1.1416,1.4081,0.8244,1.1416,1,0.8244,1.1416,0.99934,-1.749,-1.9235,-0.95997,-2.458
0.82429,1.1417,1.4082,0.82429,1.1417,1,0.82429,1.1417,0.99908,-1.7517,-1.9263,-0.95997,-2.4579
0.82419,1.1418,1.4082,0.82419,1.1418,1,0.82419,1.1418,0.99882,-1.755,-1.9296,-0.95997,-2.4578
0.82409,1.1419,1.4082,0.82409,1.1419,1,0.82409,1.1419,0.99856,-1.7587,-1.9332,-0.95997,-2.4577
0.824,1.142,1.4082,0.824,1.142,1,0.824,1.142,0.99831,-1.7627,-1.9372,-0.95997,-2.4576
0.82391,1.1421,1.4083,0.82391,1.1421,1,0.82391,1.1421,0.99806,-1.767,-1.9415,-0.95997,-2.4575
0.82383,1.1422,1.4083,0.82383,1.1422,1,0.82383,1.1422,0.99781,-1.7715,-1.9461,-0.95997,-2.4575
0.82376,1.1423,1.4083,0.82376,1.1423,1,0.82376,1.1423,0.99756,-1.7763,-1.9509,-0.95997,-2.4574
0.82369,1.1424,1.4084,0.82369,1.1424,1,0.82369,1.1424,0.99731,-1.7814,-1.956,-0.95997,-2.4573
0.82363,1.1424,1.4084,0.82363,1.1424,1,0.82363,1.1424,0.99707,-1.7867,-1.9612,-0.95997,-2.4572
0.82357,1.1425,1.4084,0.82357,1.1425,1,0.82357,1.1425,0.99683,-1.7922,-1.9667,-0.95997,-2.4572
0.82352,1.1426,1.4084,0.82352,1.1426,1,0.82352,1.1426,0.99659,-1.7978,-1.9724,-0.95997,-2.4571
0.82348,1.1427,1.4085,0.82348,1.1427,1,0.82348,1.1427,0.99635,-1.8037,-1.9783,-0.95997,-2.4571
0.82344,1.1427,1.4085,0.82344,1.1427,1,0.82344,1.1427,0.99611,-1.8097,-1.9843,-0.95997,-2.457
0.82341,1.1428,1.4085,0.82341,1.1428,1,0.82341,1.1428,0.99588,-1.8159,-1.9905,-0.95997,-2.457
0.82339,1.1428,1.4085,0.82339,1.1428,1,0.82339,1.1428,0.99565,-1.8223,-1.9969,-0.95997,-2.4569
0.82338,1.1429,1.4086,0.82338,1.1429,1,0.82338,1.1429,0.99542,-1.8289,-2.0034,-0.95997,-2.4569
0.82337,1.1429,1.4086,0.82337,1.1429,1,0.82337,1.1429,0.99519,-1.8355,-2.0101,-0.95997,-2.4569
0.82337,1.1429,1.4086,0.82337,1.1429,1,0.82337,1.1429,0.99496,-1.8424,-2.017,-0.95997,-2.4569
0.82338,1.1429,1.4086,0.82338,1.1429,1,0.82338,1.1429,0.99474,-1.8494,-2.024,-0.95997,-2.4569
0.8234,1.143,1.4087,0.8234,1.143,1,0.8234,1.143,0.99451,-1.8566,-2.0311,-0.95997,-2.4569
0.82342,1.143,1.4087,0.82342,1.143,1,0.82342,1.143,0.99429,-1.8638,-2.0384,-0.95997,-2.4569
0.82345,1.143,1.4087,0.82345,1.143,1,0.82345,1.143,0.99407,-1.8713,-2.0459,-0.95997,-2.4569
0.82349,1.143,1.4087,0.82349,1.143,1,0.82349,1.143,0.99386,-1.8789,-2.0534,-0.95997,-2.4569
